Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
Acura,Gasoline,4,35,25
Acura,Gasoline,6,28,21
Alfa Romeo,Gasoline,4,33,24
Alfa Romeo,Gasoline,6,24,17
Aston Martin,Gasoline,12,19,12
Audi,Gasoline,4,30,23
Audi,Gasoline,6,27,19
Audi,Gasoline,8,26,17
Audi,Gasoline,10,22,14
Audi,Gasoline,4,32,24
Bentley,Gasoline,8,22,13
Bentley,Gasoline,12,20,12
BMW,Diesel,4,41,30
BMW,Diesel,6,29,23
BMW,Electricity,0,109,133
BMW,Gasoline,2,33,36
BMW,Gasoline,3,29,28
BMW,Gasoline,4,32,23
BMW,Gasoline,6,28,19
BMW,Gasoline,8,23,15
BMW,Gasoline,12,20,13
